month,base_payment,cost,revenue,adjustment,margin,wmvi,employer_exposure,applied_factor,regime,event,cap_hit,project
2020-12-01,0.04978706836786394,0.055561697663527386,0.04978706836786394,0.0,-0.0057746292956634485,-0.5665777583072273,0.0,0.0,Fixed-price,False,False,road
2021-01-01,0.013938644962693062,0.01557158520078666,0.013938644962693062,0.0,-0.001632940238093598,-0.09099366624458358,0.0,0.0,Fixed-price,False,False,road
2021-02-01,0.017523916760467207,0.01964371828853303,0.017523916760467207,0.0,-0.0021198015280658213,-0.19490452361888105,0.0,0.0,Fixed-price,False,False,road
2021-03-01,0.021839018090322238,0.024551343675460753,0.021839018090322238,0.0,-0.0027123255851385156,-0.5684711259200619,0.0,0.0,Fixed-price,False,False,road
2021-04-01,0.026921148375413363,0.030352295184682517,0.026921148375413363,0.0,-0.0034311468092691547,-1.1629186746394269,0.0,0.0,Fixed-price,False,False,road
2021-05-01,0.03274285992952837,0.0369597328056702,0.03274285992952837,0.0,-0.004216872876141829,-1.0270971111415526,0.0,0.0,Fixed-price,False,False,road
2021-06-01,0.039178706729238524,0.044278419912201716,0.039178706729238524,0.0,-0.005099713182963192,-1.0234795015896792,0.0,0.0,Fixed-price,False,False,road
2021-07-01,0.045974185632400875,0.05305567695155623,0.045974185632400875,0.0,-0.007081491319155357,-0.17507464997800753,0.0,0.0,Fixed-price,False,False,road
2021-08-01,0.052729796312171055,0.060904678354607444,0.052729796312171055,0.0,-0.008174882042436389,-0.19241635420053954,0.0,0.0,Fixed-price,False,False,road
2021-09-01,0.0589165350490694,0.06827064509141402,0.0589165350490694,0.0,-0.00935411004234462,-0.16462069989965356,0.0,0.0,Fixed-price,False,False,road
2021-10-01,0.06393573469896427,0.07365585770457511,0.06393573469896427,0.0,-0.009720123005610842,0.5228340253777541,0.0,0.0,Fixed-price,False,False,road
2021-11-01,0.06722218318122622,0.07831616032421564,0.06722218318122622,0.0,-0.011093977142989417,-0.41469653089788716,0.0,0.0,Fixed-price,False,False,road
2021-12-01,0.0683674721891467,0.07983349474404296,0.0683674721891467,0.0,-0.01146602255489626,-0.21193500337216453,0.0,0.0,Fixed-price,False,False,road
2022-01-01,0.06722218318122633,0.07975678135769146,0.06722218318122633,0.0,-0.012534598176465128,-0.4588434300588735,0.0,0.0,Fixed-price,False,False,road
2022-02-01,0.06393573469896403,0.07674023015211162,0.06393573469896403,0.0,-0.012804495453147588,0.11903503754810331,0.0,0.0,Fixed-price,False,False,road
2022-03-01,0.05891653504906963,0.07188335047100355,0.05891653504906963,0.0,-0.012966815421933925,1.1020502168456427,0.0,0.0,Fixed-price,False,False,road
2022-04-01,0.05272979631217085,0.06643521563242244,0.05272979631217085,0.0,-0.013705419320251593,-0.13069330358515868,0.0,0.0,Fixed-price,False,False,road
2022-05-01,0.04597418563240099,0.058658112289027724,0.04597418563240099,0.0,-0.01268392665662673,1.953889663512594,0.0,0.0,Fixed-price,False,False,road
2022-06-01,0.03917870672923838,0.05050978906260145,0.03917870672923838,0.0,-0.011331082333363073,2.636389807446853,0.0,0.0,Fixed-price,False,False,road
2022-07-01,0.03274285992952861,0.04322198153668477,0.03274285992952861,0.0,-0.01047912160715616,2.0246570967931357,0.0,0.0,Fixed-price,False,False,road
2022-08-01,0.02692114837541319,0.035775168532402646,0.02692114837541319,0.0,-0.008854020156989457,1.846293002923112,0.0,0.0,Fixed-price,False,False,road
2022-09-01,0.021839018090322383,0.02897146894022855,0.021839018090322383,0.0,-0.007132450849906168,0.33071541717846953,0.0,0.0,Fixed-price,False,False,road
2022-10-01,0.017523916760467162,0.02341264172973813,0.017523916760467162,0.0,-0.005888724969270967,1.4798907025779506,0.0,0.0,Fixed-price,False,False,road
2022-11-01,0.013938644962693215,0.01855792917774424,0.013938644962693215,0.0,-0.004619284215051025,-0.07690882197225879,0.0,0.0,Fixed-price,False,False,road
2020-12-01,0.04978706836786394,0.055561697663527386,0.05325184594526201,0.0034647775773980695,-0.0023098517182653794,-0.5665777583072273,0.0034647775773980695,0.06959191796146165,FIDIC 13.8,True,False,road
2021-01-01,0.013938644962693062,0.01557158520078666,0.014918409105549221,0.000979764142856159,-0.0006531760952374396,-0.09099366624458358,0.004444541720254228,0.07029120445197568,FIDIC 13.8,True,False,road
2021-02-01,0.017523916760467207,0.01964371828853303,0.0187957976773067,0.0012718809168394923,-0.0008479206112263285,-0.19490452361888105,0.00571642263709372,0.07257971686494033,FIDIC 13.8,True,False,road
2021-03-01,0.021839018090322238,0.024551343675460753,0.023466413441405348,0.0016273953510831094,-0.0010849302340554048,-0.5684711259200619,0.007343817988176829,0.07451778941491306,FIDIC 13.8,True,False,road
2021-04-01,0.026921148375413363,0.030352295184682517,0.028979836460974857,0.002058688085561493,-0.0013724587237076598,-1.1629186746394269,0.009402506073738322,0.07647103521934669,FIDIC 13.8,True,False,road
2021-05-01,0.03274285992952837,0.0369597328056702,0.03527298365521347,0.002530123725685098,-0.0016867491504567317,-1.0270971111415526,0.01193262979942342,0.07727253303867222,FIDIC 13.8,True,False,road
2021-06-01,0.039178706729238524,0.044278419912201716,0.04223853463901644,0.003059827909777913,-0.002039885273185278,-1.0234795015896792,0.014992457709201334,0.07809925761266658,FIDIC 13.8,True,False,road
